query,expected_course,found_course,found_question,found_answer,success,score
How often does Zoomcamp take place throughout the year?,data-engineering-zoomcamp,data-engineering-zoomcamp,how many Zoomcamps in a year?,"There are 3 Zoom Camps in a year, as of 2024. However, they are for separate courses:
Data-Engineering (Jan - Apr)
MLOps (May - Aug)
Machine Learning (Sep - Jan)
There's only one Data-Engineering Zoom",True,191.93314
Are there multiple Zoomcamp sessions in a single year?,data-engineering-zoomcamp,data-engineering-zoomcamp,how many Zoomcamps in a year?,"There are 3 Zoom Camps in a year, as of 2024. However, they are for separate courses:
Data-Engineering (Jan - Apr)
MLOps (May - Aug)
Machine Learning (Sep - Jan)
There's only one Data-Engineering Zoom",True,235.78021
How many times does Zoomcamp happen annually?,data-engineering-zoomcamp,data-engineering-zoomcamp,how many Zoomcamps in a year?,"There are 3 Zoom Camps in a year, as of 2024. However, they are for separate courses:
Data-Engineering (Jan - Apr)
MLOps (May - Aug)
Machine Learning (Sep - Jan)
There's only one Data-Engineering Zoom",True,169.18123
Will the new group be distinct from the one before it?,data-engineering-zoomcamp,data-engineering-zoomcamp,Is the current cohort going to be different from the previous cohort?,"Yes. For the 2024 edition we are using Mage AI instead of Prefect and re-recorded the terraform videos, For 2023, we used Prefect instead of Airflow..",True,186.31235
How will the current group compare to the previous one?,data-engineering-zoomcamp,data-engineering-zoomcamp,Is the current cohort going to be different from the previous cohort?,"Yes. For the 2024 edition we are using Mage AI instead of Prefect and re-recorded the terraform videos, For 2023, we used Prefect instead of Airflow..",True,302.34503
Are there any changes in store for the upcoming group?,data-engineering-zoomcamp,data-engineering-zoomcamp,Are we still using the NYC Trip data for January 2021? Or are we using the 2022 data?,"We will use the same data, as the project will essentially remain the same as last year’s. The data is available here",False,137.85281
What happens after the course is completed?,data-engineering-zoomcamp,data-engineering-zoomcamp,Can I follow the course after it finishes?,"Yes, we will keep all the materials after the course finishes, so you can follow the course at your own pace after it finishes.
You can also continue looking at the homeworks and continue preparing fo",True,179.11497
Can I still access the course material after it's over?,data-engineering-zoomcamp,data-engineering-zoomcamp,Can I still join the course after the start date?,"Yes, even if you don't register, you're still eligible to submit the homeworks.
Be aware, however, that there will be deadlines for turning in the final projects. So don't leave everything for the las",False,375.31616
Do you offer any follow-up resources after the course ends?,data-engineering-zoomcamp,data-engineering-zoomcamp,Can I follow the course after it finishes?,"Yes, we will keep all the materials after the course finishes, so you can follow the course at your own pace after it finishes.
You can also continue looking at the homeworks and continue preparing fo",True,300.49945
What kind of help is available for self-paced course participants?,data-engineering-zoomcamp,data-engineering-zoomcamp,Can I get support if I take the course in the self-paced mode?,"Yes, the slack channel remains open and you can ask questions there. But always sDocker containers exit code w search the channel first and second, check the FAQ (this document), most likely all your ",True,262.4714
Do you offer support for students taking the course at their own pace?,data-engineering-zoomcamp,data-engineering-zoomcamp,Can I get support if I take the course in the self-paced mode?,"Yes, the slack channel remains open and you can ask questions there. But always sDocker containers exit code w search the channel first and second, check the FAQ (this document), most likely all your ",True,179.71466
Can I get assistance if I'm not in a traditional classroom setting?,data-engineering-zoomcamp,data-engineering-zoomcamp,Can I get support if I take the course in the self-paced mode?,"Yes, the slack channel remains open and you can ask questions there. But always sDocker containers exit code w search the channel first and second, check the FAQ (this document), most likely all your ",True,262.52545
What's the best YouTube playlist for me to check out?,data-engineering-zoomcamp,data-engineering-zoomcamp,Which playlist on YouTube should I refer to?,"All the main videos are stored in the Main “DATA ENGINEERING” playlist (no year specified). The Github repository has also been updated to show each video with a thumbnail, that would bring you direct",True,298.14362
Can you recommend a popular YouTube playlist for me?,data-engineering-zoomcamp,data-engineering-zoomcamp,Which playlist on YouTube should I refer to?,"All the main videos are stored in the Main “DATA ENGINEERING” playlist (no year specified). The Github repository has also been updated to show each video with a thumbnail, that would bring you direct",True,268.4208
Which YouTube playlist is a must-watch for music enthusiasts?,data-engineering-zoomcamp,data-engineering-zoomcamp,Which playlist on YouTube should I refer to?,"All the main videos are stored in the Main “DATA ENGINEERING” playlist (no year specified). The Github repository has also been updated to show each video with a thumbnail, that would bring you direct",True,357.55917
What's the process for getting started?,machine-learning-zoomcamp,machine-learning-zoomcamp,How to get started with Week 8?,TODO,False,104.443535
Can you walk me through the registration process?,machine-learning-zoomcamp,machine-learning-zoomcamp,The course has already started. Can I still join it?,"Yes, you can. You won’t be able to submit some of the homeworks, but you can still take part in the course.
In order to get a certificate, you need to submit 2 out of 3 course projects and review 3 pe",False,92.9558
How do I create an account?,machine-learning-zoomcamp,machine-learning-zoomcamp,How do I sign up?,"Machine Learning Zoomcamp FAQ
The purpose of this document is to capture frequently asked technical questions.
We did this for our data engineering course and it worked quite well. Check this document",True,184.15323
What happens if I have to skip a class?,machine-learning-zoomcamp,machine-learning-zoomcamp,Will I get a certificate if I missed the midterm project?,"Yes, it's possible. See the previous answer.",False,180.0751
What's the plan if I miss a meeting or session?,machine-learning-zoomcamp,machine-learning-zoomcamp,What if I miss a session?,"Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions",True,489.73038
What if I'm unable to attend a scheduled session?,machine-learning-zoomcamp,machine-learning-zoomcamp,What if I miss a session?,"Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions",True,353.32443
What percentage of the course will be dedicated to theoretical concepts?,machine-learning-zoomcamp,machine-learning-zoomcamp,What are the deadlines in this course?,"For the 2023 cohort, you can see the deadlines here (it’s taken from the 2023 cohort page)",False,180.60213
Can you give me an idea of the theoretical content?,machine-learning-zoomcamp,machine-learning-zoomcamp,I didn’t fully understand the ROC curve. Can I move on?,"It's a complex and abstract topic and it requires some time to understand. You can move on without fully understanding the concept.
Nonetheless, it might be useful for you to rewatch the video, or eve",False,89.27249
How much of the material will be based on theory?,machine-learning-zoomcamp,machine-learning-zoomcamp,How much theory will you cover?,"The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule fo",True,436.3195
I'm not great at math - can I still enroll in the class?,machine-learning-zoomcamp,machine-learning-zoomcamp,I don't know math. Can I take the course?,"Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: M",True,295.9838
Do you offer math courses for people who struggle with the subject?,machine-learning-zoomcamp,machine-learning-zoomcamp,I don't know math. Can I take the course?,"Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: M",True,163.14575
Is it possible to take a math course even if I'm not confident?,machine-learning-zoomcamp,machine-learning-zoomcamp,I don't know math. Can I take the course?,"Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: M",True,329.54147
"I submitted the form, but haven't gotten a confirmation email yet - is that typical?",machine-learning-zoomcamp,machine-learning-zoomcamp,"I filled the form, but haven't received a confirmation email. Is it normal?","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get cou",True,637.03516
Should I be worried if I haven't received a confirmation email after submitting the form?,machine-learning-zoomcamp,machine-learning-zoomcamp,"I filled the form, but haven't received a confirmation email. Is it normal?","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get cou",True,680.98413
"I just filled out the form, but no confirmation email has arrived - is this normal?",machine-learning-zoomcamp,machine-learning-zoomcamp,"I filled the form, but haven't received a confirmation email. Is it normal?","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get cou",True,701.1085
What's the duration of the course?,machine-learning-zoomcamp,machine-learning-zoomcamp,How long is the course?,"Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",True,158.8446
How many hours does the course last?,machine-learning-zoomcamp,machine-learning-zoomcamp,How long is the course?,"Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",True,176.48163
What's the length of the course program?,machine-learning-zoomcamp,machine-learning-zoomcamp,How long is the course?,"Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",True,158.8446
What's the estimated time commitment for this course?,machine-learning-zoomcamp,machine-learning-zoomcamp,How much time do I need for this course?,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,True,292.76642
How long will it take to complete this course?,machine-learning-zoomcamp,machine-learning-zoomcamp,How long is the course?,"Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",False,269.94336
What's the typical time frame for finishing this course?,machine-learning-zoomcamp,machine-learning-zoomcamp,How much time do I need for this course?,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,True,292.76642
Do I receive a certificate after completing the course?,machine-learning-zoomcamp,machine-learning-zoomcamp,Will I get a certificate if I missed the midterm project?,"Yes, it's possible. See the previous answer.",False,235.15639
Will I get a certificate of completion at the end?,machine-learning-zoomcamp,machine-learning-zoomcamp,Will I get a certificate if I missed the midterm project?,"Yes, it's possible. See the previous answer.",False,385.23492
Can I expect a certificate once I finish the program?,machine-learning-zoomcamp,machine-learning-zoomcamp,Will I get a certificate?,"Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link",True,308.08917
Do I still get a certificate if I missed the midterm project?,machine-learning-zoomcamp,machine-learning-zoomcamp,Will I get a certificate if I missed the midterm project?,"Yes, it's possible. See the previous answer.",True,730.8752
Will I receive a certificate if I didn't complete the midterm project?,machine-learning-zoomcamp,machine-learning-zoomcamp,Will I get a certificate if I missed the midterm project?,"Yes, it's possible. See the previous answer.",True,633.44257
Can I still get a certificate even if I missed the midterm assignment?,machine-learning-zoomcamp,machine-learning-zoomcamp,Will I get a certificate if I missed the midterm project?,"Yes, it's possible. See the previous answer.",True,663.2803
What's the bare minimum I need to know about Python?,machine-learning-zoomcamp,machine-learning-zoomcamp,How much Python should I know?,"Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning B",True,258.0926
How much Python programming do I need to be proficient?,machine-learning-zoomcamp,machine-learning-zoomcamp,How much Python should I know?,"Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning B",True,312.61087
What's the essential knowledge I should have in Python?,machine-learning-zoomcamp,machine-learning-zoomcamp,How much Python should I know?,"Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning B",True,230.74246
How do I structure a question about a specific problem?,mlops-zoomcamp,mlops-zoomcamp,Problem title,"Problem description
Solution description
(optional) Added by Name",False,136.60574
What's the best way to format a question about a particular issue?,mlops-zoomcamp,mlops-zoomcamp,Query Blocked,"I can only answer questions about Data Engineering, Machine Learning, and MLOps Zoomcamp courses. Please ask a course-related question.",False,0.0
How can I write a clear and concise question about a specific topic?,mlops-zoomcamp,mlops-zoomcamp,Will there be a 2024 Cohort? When will the 2024 cohort start?,"Yes, it will start in May 2024",False,85.08558
How long does each module take to complete in these courses?,mlops-zoomcamp,mlops-zoomcamp,What is the expected duration of this course or that for each module?,"Approximately 3 months. For each module, about 1 week with possible deadline extensions (in total 6~9 weeks), 2 weeks for working on the capstone project and 1 week for peer review.",True,152.49452
What's the typical time frame for finishing each module?,mlops-zoomcamp,mlops-zoomcamp,What is the expected duration of this course or that for each module?,"Approximately 3 months. For each module, about 1 week with possible deadline extensions (in total 6~9 weeks), 2 weeks for working on the capstone project and 1 week for peer review.",True,215.7755
Can you give me an idea of the module duration for each course?,mlops-zoomcamp,mlops-zoomcamp,What is the expected duration of this course or that for each module?,"Approximately 3 months. For each module, about 1 week with possible deadline extensions (in total 6~9 weeks), 2 weeks for working on the capstone project and 1 week for peer review.",True,433.62097
How do the 2023 and 2022 courses compare to each other?,mlops-zoomcamp,mlops-zoomcamp,What’s the difference between the 2023 and 2022 course?,"The difference is the Orchestration and Monitoring modules. Those videos will be re-recorded. The rest should mostly be the same.
Also all of the homeworks will be changed for the 2023 cohort.",True,312.3437
What are the main changes between the 2023 and 2022 courses?,mlops-zoomcamp,mlops-zoomcamp,What’s the difference between the 2023 and 2022 course?,"The difference is the Orchestration and Monitoring modules. Those videos will be re-recorded. The rest should mostly be the same.
Also all of the homeworks will be changed for the 2023 cohort.",True,450.08884
What's new in the 2023 course compared to the 2022 one?,mlops-zoomcamp,mlops-zoomcamp,What’s the difference between the 2023 and 2022 course?,"The difference is the Orchestration and Monitoring modules. Those videos will be re-recorded. The rest should mostly be the same.
Also all of the homeworks will be changed for the 2023 cohort.",True,375.58972
Are you planning to offer a 2024 program or intake?,mlops-zoomcamp,mlops-zoomcamp,Will there be a 2024 Cohort? When will the 2024 cohort start?,"Yes, it will start in May 2024",True,196.42685
When does the 2024 program or course start accepting students?,mlops-zoomcamp,mlops-zoomcamp,Will there be a 2024 Cohort? When will the 2024 cohort start?,"Yes, it will start in May 2024",True,308.69446
Will there be a new intake or cohort in 2024?,mlops-zoomcamp,mlops-zoomcamp,Will there be a 2024 Cohort? When will the 2024 cohort start?,"Yes, it will start in May 2024",True,614.33887
What if my response doesn't match any of the given options exactly?,mlops-zoomcamp,mlops-zoomcamp,What if my answer is not exactly the same as the choices presented?,Please choose the closest one to your answer. Also do not post your answer in the course slack channel.,True,334.95602
Can I provide an answer that's not listed among the choices?,mlops-zoomcamp,mlops-zoomcamp,What if my answer is not exactly the same as the choices presented?,Please choose the closest one to your answer. Also do not post your answer in the course slack channel.,True,279.49042
How do I handle a response that doesn't fit the given choices?,mlops-zoomcamp,mlops-zoomcamp,What if my answer is not exactly the same as the choices presented?,Please choose the closest one to your answer. Also do not post your answer in the course slack channel.,True,149.88797
Can we pick our own subjects for the final project?,mlops-zoomcamp,mlops-zoomcamp,Are we free to choose our own topics for the final project?,"Please pick up a problem you want to solve yourself. Potential datasets can be found on either Kaggle, Hugging Face, Google, AWS, or the UCI Machine Learning Datasets Repository.",True,517.8059
Do we get to choose the topic for the final assignment?,mlops-zoomcamp,mlops-zoomcamp,Are we free to choose our own topics for the final project?,"Please pick up a problem you want to solve yourself. Potential datasets can be found on either Kaggle, Hugging Face, Google, AWS, or the UCI Machine Learning Datasets Repository.",True,394.97162
Is it okay if we select our own project themes?,mlops-zoomcamp,mlops-zoomcamp,Are we free to choose our own topics for the final project?,"Please pick up a problem you want to solve yourself. Potential datasets can be found on either Kaggle, Hugging Face, Google, AWS, or the UCI Machine Learning Datasets Repository.",True,357.53552
Will I still be able to graduate if I missed a week's homework?,mlops-zoomcamp,mlops-zoomcamp,Can I still graduate when I didn’t complete homework for week x?,"In order to obtain the certificate, completion of the final capstone project is mandatory. The completion of weekly homework assignments is optional, but they can contribute to your overall progress a",True,388.3397
Can I still meet the graduation requirements if I'm behind on homework?,mlops-zoomcamp,mlops-zoomcamp,Can I still graduate when I didn’t complete homework for week x?,"In order to obtain the certificate, completion of the final capstone project is mandatory. The completion of weekly homework assignments is optional, but they can contribute to your overall progress a",True,269.68936
Am I in trouble for not finishing homework and still graduating?,mlops-zoomcamp,mlops-zoomcamp,Can I still graduate when I didn’t complete homework for week x?,"In order to obtain the certificate, completion of the final capstone project is mandatory. The completion of weekly homework assignments is optional, but they can contribute to your overall progress a",True,249.5123
Do we need to host our final project online?,mlops-zoomcamp,mlops-zoomcamp,"For the final project, is it required to be put on the cloud?","You can get a few cloud points by using kubernetes even if you deploy it only locally. Or you can use local stack too to mimic AWS
Added by Ming Jun, Asked by Ben Pacheco, Answered by Alexey Grigorev",True,178.00304
Is cloud hosting a requirement for the final project submission?,mlops-zoomcamp,mlops-zoomcamp,"For the final project, is it required to be put on the cloud?","You can get a few cloud points by using kubernetes even if you deploy it only locally. Or you can use local stack too to mimic AWS
Added by Ming Jun, Asked by Ben Pacheco, Answered by Alexey Grigorev",True,327.45712
Can we keep our final project on our local computers?,mlops-zoomcamp,mlops-zoomcamp,"For the final project, is it required to be put on the cloud?","You can get a few cloud points by using kubernetes even if you deploy it only locally. Or you can use local stack too to mimic AWS
Added by Ming Jun, Asked by Ben Pacheco, Answered by Alexey Grigorev",True,198.50038
How can I set up port forwarding without using Visual Studio?,mlops-zoomcamp,mlops-zoomcamp,Port-forwarding without Visual Studio,"For those who are not using VSCode (or other similar IDE), you can automate port-forwarding for Jupyter Notebook by adding the following line of code to your
~/.ssh/config file (under the mlops-zoomca",True,682.68604
Is there a way to forward ports without relying on Visual Studio?,mlops-zoomcamp,mlops-zoomcamp,Port-forwarding without Visual Studio,"For those who are not using VSCode (or other similar IDE), you can automate port-forwarding for Jupyter Notebook by adding the following line of code to your
~/.ssh/config file (under the mlops-zoomca",True,435.87173
Can I configure port forwarding in a Visual Studio-free environment?,mlops-zoomcamp,mlops-zoomcamp,Port-forwarding without Visual Studio,"For those who are not using VSCode (or other similar IDE), you can automate port-forwarding for Jupyter Notebook by adding the following line of code to your
~/.ssh/config file (under the mlops-zoomca",True,569.89087
How do I launch Jupyter notebooks from within VSCode?,mlops-zoomcamp,mlops-zoomcamp,Opening Jupyter in VSCode,"You can install the Jupyter extension to open notebooks in VSCode.
Added by Khubaib",True,250.63177
Can I integrate Jupyter with VSCode for a smoother experience?,mlops-zoomcamp,mlops-zoomcamp,Opening Jupyter in VSCode,"You can install the Jupyter extension to open notebooks in VSCode.
Added by Khubaib",True,250.63177
What's the process for opening Jupyter notebooks in VSCode?,mlops-zoomcamp,mlops-zoomcamp,Opening Jupyter in VSCode,"You can install the Jupyter extension to open notebooks in VSCode.
Added by Khubaib",True,442.1739
When does the course begin?,data-engineering-zoomcamp,data-engineering-zoomcamp,When will the course start?,"The purpose of this document is to capture frequently asked technical questions
The exact day and hour of the course will be 15th Jan 2024 at 17h00. The course will start with the first  “Office Hours",True,188.4097
What's the start date for the course?,data-engineering-zoomcamp,data-engineering-zoomcamp,Can I still join the course after the start date?,"Yes, even if you don't register, you're still eligible to submit the homeworks.
Be aware, however, that there will be deadlines for turning in the final projects. So don't leave everything for the las",False,334.14804
When does the course's term begin?,data-engineering-zoomcamp,data-engineering-zoomcamp,When will the course start?,"The purpose of this document is to capture frequently asked technical questions
The exact day and hour of the course will be 15th Jan 2024 at 17h00. The course will start with the first  “Office Hours",True,100.6267
When does the course's first session start?,data-engineering-zoomcamp,data-engineering-zoomcamp,When will the course start?,"The purpose of this document is to capture frequently asked technical questions
The exact day and hour of the course will be 15th Jan 2024 at 17h00. The course will start with the first  “Office Hours",True,211.14311
When does the course's academic year commence?,data-engineering-zoomcamp,data-engineering-zoomcamp,how many Zoomcamps in a year?,"There are 3 Zoom Camps in a year, as of 2024. However, they are for separate courses:
Data-Engineering (Jan - Apr)
MLOps (May - Aug)
Machine Learning (Sep - Jan)
There's only one Data-Engineering Zoom",False,141.39258
What's required to take this course?,data-engineering-zoomcamp,data-engineering-zoomcamp,What are the prerequisites for this course?,GitHub - DataTalksClub data-engineering-zoomcamp#prerequisites,True,161.55574
What's needed for enrollment?,data-engineering-zoomcamp,data-engineering-zoomcamp,What are the prerequisites for this course?,GitHub - DataTalksClub data-engineering-zoomcamp#prerequisites,True,48.974796
What's the prerequisite checklist?,data-engineering-zoomcamp,data-engineering-zoomcamp,Where are the FAQ questions from the previous cohorts for the orchestration module?,"Prefect: https://docs.google.com/document/d/1K_LJ9RhAORQk3z4Qf_tfGQCDbu8wUWzru62IUscgiGU/edit?usp=sharing
Airflow: https://docs.google.com/document/d/1-BwPAsyDH_mAsn8HH5z_eNYVyBMAtawJRjHHsjEKHyY/edit?",False,41.72802
What's the prerequisite info?,data-engineering-zoomcamp,data-engineering-zoomcamp,Where are the FAQ questions from the previous cohorts for the orchestration module?,"Prefect: https://docs.google.com/document/d/1K_LJ9RhAORQk3z4Qf_tfGQCDbu8wUWzru62IUscgiGU/edit?usp=sharing
Airflow: https://docs.google.com/document/d/1-BwPAsyDH_mAsn8HH5z_eNYVyBMAtawJRjHHsjEKHyY/edit?",False,41.72802
What's the prerequisite setup?,data-engineering-zoomcamp,data-engineering-zoomcamp,when running the seed-kafka command after initial setup.,"Below I have listed some steps I took to rectify this and potentially other minor errors, in Windows:
Use the git bash terminal in windows.
Activate python venv from git bash: source .venv/Scripts/act",False,132.7382
Is it too late to enroll?,data-engineering-zoomcamp,data-engineering-zoomcamp,Are late submissions of homework allowed?,"No, late submissions are not allowed. But if the form is still not closed and it’s after the due date, you can still submit the homework. confirm your submission by the date-timestamp on the Course pa",False,141.39258
Can I catch up with the class?,data-engineering-zoomcamp,data-engineering-zoomcamp,Can I follow the course after it finishes?,"Yes, we will keep all the materials after the course finishes, so you can follow the course at your own pace after it finishes.
You can also continue looking at the homeworks and continue preparing fo",False,151.51167
Is the course open for late applicants?,data-engineering-zoomcamp,data-engineering-zoomcamp,Are late submissions of homework allowed?,"No, late submissions are not allowed. But if the form is still not closed and it’s after the due date, you can still submit the homework. confirm your submission by the date-timestamp on the Course pa",False,141.39258
Is it possible to join after the start date?,data-engineering-zoomcamp,data-engineering-zoomcamp,Can I still join the course after the start date?,"Yes, even if you don't register, you're still eligible to submit the homeworks.
Be aware, however, that there will be deadlines for turning in the final projects. So don't leave everything for the las",True,410.14374
Is there a way to join after the course has begun?,data-engineering-zoomcamp,data-engineering-zoomcamp,Can I still join the course after the start date?,"Yes, even if you don't register, you're still eligible to submit the homeworks.
Be aware, however, that there will be deadlines for turning in the final projects. So don't leave everything for the las",True,293.03955
When can I expect the confirmation email?,data-engineering-zoomcamp,data-engineering-zoomcamp,I have registered for the Data Engineering Bootcamp. When can I expect to receive the confirmation email?,You don't need it. You're accepted. You can also just start learning and submitting homework without registering. It is not checked against any registered list. Registration is just to gauge interest ,True,449.2673
When will I get the confirmation email?,data-engineering-zoomcamp,data-engineering-zoomcamp,I have registered for the Data Engineering Bootcamp. When can I expect to receive the confirmation email?,You don't need it. You're accepted. You can also just start learning and submitting homework without registering. It is not checked against any registered list. Registration is just to gauge interest ,True,299.54178
When can I expect the email with confirmation?,data-engineering-zoomcamp,data-engineering-zoomcamp,I have registered for the Data Engineering Bootcamp. When can I expect to receive the confirmation email?,You don't need it. You're accepted. You can also just start learning and submitting homework without registering. It is not checked against any registered list. Registration is just to gauge interest ,True,449.2673
When will I receive the confirmation email?,data-engineering-zoomcamp,data-engineering-zoomcamp,I have registered for the Data Engineering Bootcamp. When can I expect to receive the confirmation email?,You don't need it. You're accepted. You can also just start learning and submitting homework without registering. It is not checked against any registered list. Registration is just to gauge interest ,True,385.95297
When can I expect the confirmation email to arrive?,data-engineering-zoomcamp,data-engineering-zoomcamp,I have registered for the Data Engineering Bootcamp. When can I expect to receive the confirmation email?,You don't need it. You're accepted. You can also just start learning and submitting homework without registering. It is not checked against any registered list. Registration is just to gauge interest ,True,470.4264
What's the prep for the course?,data-engineering-zoomcamp,data-engineering-zoomcamp,When will the course start?,"The purpose of this document is to capture frequently asked technical questions
The exact day and hour of the course will be 15th Jan 2024 at 17h00. The course will start with the first  “Office Hours",False,158.8446
What should I do before class?,data-engineering-zoomcamp,data-engineering-zoomcamp,What can I do before the course starts?,"You can start by installing and setting up all the dependencies and requirements:
Google cloud account
Google Cloud SDK
Python 3 (installed with Anaconda)
Terraform
Git
Look over the prerequisites and",True,281.274
What's the course's start routine?,data-engineering-zoomcamp,data-engineering-zoomcamp,When will the course start?,"The purpose of this document is to capture frequently asked technical questions
The exact day and hour of the course will be 15th Jan 2024 at 17h00. The course will start with the first  “Office Hours",False,146.04721
What's the pre-course process?,data-engineering-zoomcamp,data-engineering-zoomcamp,When will the course start?,"The purpose of this document is to capture frequently asked technical questions
The exact day and hour of the course will be 15th Jan 2024 at 17h00. The course will start with the first  “Office Hours",False,123.313805
